PacketCounter,SampleTimeFine,Label
0,79880621,1
1,79897288,1
2,79913955,1
3,79930622,1
4,79947289,1
5,79963956,1
6,79980623,1
7,79997290,1
8,80013957,1
9,80030624,1
10,80047291,1
11,80063958,1
12,80080625,1
13,80097292,1
14,80113959,1
15,80130626,1
16,80147293,1
17,80163960,1
18,80180627,1
19,80197294,1
20,80213961,1
21,80230628,1
22,80247295,1
23,80263962,1
24,80280629,1
25,80297296,1
26,80313963,1
27,80330630,1
28,80347297,1
29,80363964,1
30,80380631,1
31,80397298,1
32,80413965,1
33,80430632,1
34,80447299,1
35,80463966,1
36,80480633,1
37,80497300,1
38,80513967,1
39,80530634,1
40,80547301,1
41,80563968,1
42,80580635,1
43,80597302,1
44,80613969,1
45,80630636,1
46,80647303,1
47,80663970,1
48,80680637,1
49,80697304,1
50,80713971,1
51,80730638,1
52,80747305,1
53,80763972,1
54,80780639,1
55,80797306,1
56,80813973,1
57,80830640,1
58,80847307,1
59,80863974,1
60,80880641,1
61,80897308,1
62,80913975,1
63,80930642,1
64,80947309,1
65,80963976,1
66,80980643,1
67,80997310,1
68,81013977,1
69,81030644,1
70,81047311,1
71,81063978,1
72,81080645,1
73,81097312,1
74,81113979,1
75,81130646,1
76,81147313,1
77,81163980,1
78,81180647,1
79,81197314,1
80,81213981,1
81,81230648,1
82,81247315,2
83,81263982,2
84,81280649,2
85,81297316,2
86,81313983,2
87,81330650,2
88,81347317,2
89,81363984,2
90,81380651,2
91,81397318,2
92,81413985,2
93,81430652,2
94,81447319,2
95,81463986,2
96,81480653,2
97,81497320,2
98,81513987,2
99,81530654,2
100,81547321,2
101,81563988,2
102,81580655,2
103,81597322,2
104,81613989,2
105,81630656,2
106,81647323,2
107,81663990,2
108,81680657,2
109,81697324,2
110,81713991,2
111,81730658,2
112,81747325,2
113,81763992,2
114,81780659,2
115,81797326,2
116,81813993,2
117,81830660,2
118,81847327,2
119,81863994,2
120,81880661,2
121,81897328,2
122,81913995,2
123,81930662,2
124,81947329,2
125,81963996,2
126,81980663,2
127,81997330,2
128,82013997,2
129,82030664,2
130,82047331,2
131,82063998,2
132,82080665,2
133,82097332,2
134,82113999,2
135,82130666,2
136,82147333,2
137,82164000,2
138,82180667,2
139,82197334,2
140,82214001,2
141,82230668,2
142,82247335,2
143,82264002,2
144,82280669,2
145,82297336,2
146,82314003,2
147,82330670,2
148,82347337,2
149,82364004,2
150,82380671,2
151,82397338,2
152,82414005,2
153,82430672,2
154,82447339,2
155,82464006,2
156,82480673,2
157,82497340,2
158,82514007,2
159,82530674,2
160,82547341,2
161,82564008,2
162,82580675,2
163,82597342,2
164,82614009,2
165,82630676,2
166,82647343,2
167,82664010,2
168,82680677,2
169,82697344,2
170,82714011,2
171,82730678,2
172,82747345,2
173,82764012,2
174,82780679,2
175,82797346,2
176,82814013,2
177,82830680,2
178,82847347,2
179,82864014,2
180,82880681,2
181,82897348,2
182,82914015,2
183,82930682,2
184,82947349,2
185,82964016,2
186,82980683,2
187,82997350,2
188,83014017,2
189,83030684,2
190,83047351,2
191,83064018,2
192,83080685,2
193,83097352,2
194,83114019,2
195,83130686,2
196,83147353,2
197,83164020,2
198,83180687,2
199,83197354,2
200,83214021,2
201,83230688,2
202,83247355,2
203,83264022,2
204,83280689,2
205,83297356,2
206,83314023,2
207,83330690,2
208,83347357,2
209,83364024,2
210,83380691,2
211,83397358,2
212,83414025,2
213,83430692,2
214,83447359,2
215,83464026,2
216,83480693,2
217,83497360,2
218,83514027,2
219,83530694,2
220,83547361,2
221,83564028,2
222,83580695,2
223,83597362,2
224,83614029,2
225,83630696,2
226,83647363,2
227,83664030,2
228,83680697,2
229,83697364,2
230,83714031,2
231,83730698,2
232,83747365,2
233,83764032,2
234,83780699,2
235,83797366,2
236,83814033,2
237,83830700,2
238,83847367,2
239,83864034,2
240,83880701,2
241,83897368,2
242,83914035,2
243,83930702,2
244,83947369,2
245,83964036,2
246,83980703,2
247,83997370,2
248,84014037,2
249,84030704,2
250,84047371,2
251,84064038,3
252,84080705,3
253,84097372,3
254,84114039,3
255,84130706,3
256,84147373,3
257,84164040,3
258,84180707,3
259,84197374,3
260,84214041,3
261,84230708,3
262,84247375,3
263,84264042,3
264,84280709,3
265,84297376,3
266,84314043,3
267,84330710,3
268,84347377,3
269,84364044,3
270,84380711,3
271,84397378,3
272,84414045,3
273,84430712,3
274,84447379,3
275,84464046,3
276,84480713,3
277,84497380,3
278,84514047,3
279,84530714,3
280,84547381,3
281,84564048,3
282,84580715,3
283,84597382,3
284,84614049,3
285,84630716,3
286,84647383,3
287,84664050,3
288,84680717,3
289,84697384,3
290,84714051,3
291,84730718,3
292,84747385,3
293,84764052,3
294,84780719,3
295,84797386,3
296,84814053,3
297,84830720,3
298,84847387,3
299,84864054,3
300,84880721,3
301,84897388,3
302,84914055,3
303,84930722,3
304,84947389,3
305,84964056,3
306,84980723,3
307,84997390,3
308,85014057,3
309,85030724,3
310,85047391,3
311,85064058,3
312,85080725,3
313,85097392,3
314,85114059,3
315,85130726,3
316,85147393,3
317,85164060,3
318,85180727,3
319,85197394,3
320,85214061,3
321,85230728,3
322,85247395,3
323,85264062,3
324,85280729,3
325,85297396,3
326,85314063,3
327,85330730,3
328,85347397,3
329,85364064,3
330,85380731,3
331,85397398,3
332,85414065,3
333,85430732,3
334,85447399,3
335,85464066,3
336,85480733,3
337,85497400,3
338,85514067,3
339,85530734,3
340,85547401,3
341,85564068,3
342,85580735,3
343,85597402,3
344,85614069,3
345,85630736,3
346,85647403,3
347,85664070,3
348,85680737,3
349,85697404,3
350,85714071,3
351,85730738,3
352,85747405,3
353,85764072,3
354,85780739,3
355,85797406,3
356,85814073,3
357,85830740,3
358,85847407,3
359,85864074,3
360,85880741,3
361,85897408,3
362,85914075,3
363,85930742,3
364,85947409,3
365,85964076,3
366,85980743,3
367,85997410,3
368,86014077,3
369,86030744,3
370,86047411,3
371,86064078,3
372,86080745,3
373,86097412,3
374,86114079,3
375,86130746,3
376,86147413,3
377,86164080,3
378,86180747,3
379,86197414,3
380,86214081,3
381,86230748,3
382,86247415,3
383,86264082,3
384,86280749,3
385,86297416,3
386,86314083,3
387,86330750,3
388,86347417,3
389,86364084,3
390,86380751,3
391,86397418,3
392,86414085,3
393,86430752,3
394,86447419,3
395,86464086,3
396,86480753,3
397,86497420,3
398,86514087,3
399,86530754,3
400,86547421,3
401,86564088,3
402,86580755,3
403,86597422,3
404,86614089,3
